title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"good 4 u","Olivia Rodrigo","good 4 u",USUG12101245,spotify,6PERP62TejQjgHu81OHxgM,178s,"2021-05-18 16:57",nick170708!,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
"MONTERO (Call Me By Your Name)","Lil Nas X","MONTERO (Call Me By Your Name)",USSM12100531,spotify,67BtfxlNbhBmCDR2L2l8qd,138s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
Beggin',Måneskin,Chosen,ITB001700846,spotify,3Wrjm47oTz2sjIgck11l5e,212s,"2021-07-22 00:37",nick170708!,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
"deja vu","Olivia Rodrigo","deja vu",USUG12101240,spotify,61KpQadow081I2AsbeLcsb,216s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
telepatía,"Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞",GBUM72005748,spotify,6tDDoYIxWvMLTdKpjFkc1B,160s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, Giveon",Justice,USUM72102636,spotify,4iJyoBOLtHqaGxP12qzhQI,198s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd, Ariana Grande","Save Your Tears (Remix)",USUG12101839,spotify,37BZB0z9T8Xu7U3e65qxFy,191s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
"Heartbreak Anniversary",Giveon,"TAKE TIME",USSM12000998,spotify,3FAJ6O0NOHQV8Mc5Ri6ENp,198s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
"Bad Habits","Ed Sheeran","Bad Habits",GBAHS2100318,spotify,6PQ88X9TkUIAUIZJHW2upE,231s,"2021-06-27 19:07",nick170708!,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
Woman,"Doja Cat","Planet Her",USRC12101532,spotify,6Uj1ctrBOjOas8xZXGqKk4,173s,"2021-09-10 03:59",nick170708!,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
"STAY (with Justin Bieber)","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)",USSM12103949,spotify,5HCyWlXZPP0y6Gqq8TgA20,142s,"2021-07-15 15:37",nick170708!,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
34+35,"Ariana Grande",Positions,USUM72020423,spotify,6Im9k8u9iIzKMrmV7BWtlF,174s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
"Leave The Door Open","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open",USAT22100906,spotify,7MAibcTli4IisCtbHKrGMh,242s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
"drivers license","Olivia Rodrigo","drivers license",USUG12004749,spotify,7lPN2DXiMsVn7XUKtOW1CS,242s,"2021-05-18 16:44",nick170708!,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
"Happier Than Ever","Billie Eilish","Happier Than Ever",USUM72105936,spotify,4RVwu0g32PAqgUiJoXsdF8,299s,"2021-10-04 14:30",nick170708!,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
"Easy On Me",Adele,"Easy On Me",USSM12105970,spotify,0gplL1WMoJ6iYaPgMCL0gX,225s,"2021-10-15 01:59",nick170708!,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
"Good Days",SZA,"Good Days",USRC12004189,spotify,3YJJjQPAbDT7mGpX3WtQ9A,279s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
"Heat Waves","Glass Animals",Dreamland,GBUM72000433,spotify,3USxtqRwSYz57Ewm6wWRMp,239s,"2021-09-20 05:13",nick170708!,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
"My Universe","Coldplay, BTS","My Universe",GBAYE2100952,spotify,3FeVmId7tL5YN8B7R3imoM,228s,"2021-10-04 14:30",nick170708!,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
"Kiss Me More (feat. SZA)","Doja Cat, SZA","Kiss Me More (feat. SZA)",USRC12100543,spotify,748mdHapucXQri7IAO8yFK,209s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Butter,BTS,Butter,QM6MZ2156864,spotify,3VqeTFIvhxu3DIe4eZVzGq,164s,"2021-05-21 16:38",nick170708!,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow",MONTERO,USSM12104539,spotify,5Z9KJZvQzH6PFmb8SNkxuk,212s,"2022-05-16 19:09",nick170708!,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
