title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)",GBUM72205415,spotify,3nqQXoyQOWXiESFLlDF1hG,157s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
Anti-Hero,"Taylor Swift",Midnights,USUG12205736,spotify,0V3wPSX9ygBnCm8psDIegu,201s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
"I'm Good (Blue)","David Guetta, Bebe Rexha","I'm Good (Blue)",UKWLG2200055,spotify,4uUG5RXrOk84mYEfFvj3cK,175s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
"As It Was","Harry Styles","As It Was",USSM12200612,spotify,4LRPiXqCikLlN15c3yImP7,167s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By",Rihanna,"Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)",QMJMT2204481,spotify,35ovElsgyAtQwYPYnZJECg,197s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/35ovElsgyAtQwYPYnZJECg
"I Ain't Worried",OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",USUM72206227,spotify,4h9wh7iOZ0GGn8QVp4RAOB,148s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
"Super Freaky Girl","Nicki Minaj","Super Freaky Girl",USUM72215262,spotify,4C6Uex2ILwJi9sZXRdmqXp,171s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
"Under The Influence","Chris Brown","Indigo (Extended)",USRC11902743,spotify,5IgjP7X4th6nMNDh4akUHb,185s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb
"CUFF IT",Beyoncé,RENAISSANCE,USSM12206232,spotify,1xzi1Jcr7mEi9K2RfzLOqS,225s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
"Romantic Homicide",d4vd,"Romantic Homicide",QZMEM2232831,spotify,1xK59OXxi2TAAAbmZK0kBL,133s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL
"what about your boyfriend?",Meric,"what about your boyfriend?",QMBZ92279436,spotify,4OqVZThHFzi88ir8F5agSs,160s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4OqVZThHFzi88ir8F5agSs
"Bad Habit","Steve Lacy","Gemini Rights",USRC12201440,spotify,4k6Uh1HXdhtusDW5y8Gbvy,232s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
"Bam Bam (feat. Ed Sheeran)","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)",USSM12200047,spotify,0QBzMgT7NIeoCYy3sJCof1,206s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
"KU LO SA - A COLORS SHOW",Oxlade,"KU LO SA - A COLORS SHOW",QMEU32209358,spotify,2WigMwGJysIh9fRnSJvpjn,148s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2WigMwGJysIh9fRnSJvpjn
"Burn Our Bridges Down",RIELL,"Burn Our Bridges Down",QZRP42287961,spotify,1I4wRSEnqLRMTsqKR4bbxh,214s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1I4wRSEnqLRMTsqKR4bbxh
"B.O.T.A. (Baddest Of Them All) - Edit","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)",QZAKB2166405,spotify,39JofJHEtg8I4fSyo7Imft,227s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/39JofJHEtg8I4fSyo7Imft
