"","track_name","artist_names","peak_rank","weeks_on_chart","album"
"1","drivers license","Olivia Rodrigo",1,8,"SOUR"
"2","drivers license","Olivia Rodrigo",1,8,"drivers license"
"3","Save Your Tears","The Weeknd",2,13,"After Hours"
"4","Blinding Lights","The Weeknd",1,66,"After Hours"
"5","Blinding Lights","The Weeknd",1,66,"Blinding Lights"
"6","DÁKITI","Bad Bunny, Jhay Cortez",1,18,0
"7","Calling My Phone","Lil Tjay, 6LACK",4,3,0
"8","telepatía","Kali Uchis",6,2,"Sin Miedo (del Amor y Otros Demonios) ∞"
"9","Astronaut In The Ocean","Masked Wolf",7,7,"Astronaut In The Ocean"
"10","Bandido","Myke Towers, Juhn",5,11,0
"11","The Business","Tiësto",9,18,"The Business"
"12","Mood (feat. iann dior)","24kGoldn, iann dior",1,30,0
"13","WITHOUT YOU","The Kid LAROI",7,13,"F*CK LOVE (SAVAGE)"
"14","LA NOCHE DE ANOCHE","Bad Bunny, ROSALÍA",2,14,0
"15","Streets","Doja Cat",9,8,0
"16","Up","Cardi B",14,4,"Up (Instrumental)"
"17","Good Days","SZA",5,10,"Good Days"
"18","Levitating (feat. DaBaby)","Dua Lipa, DaBaby",14,22,0
"19","Whoopty","CJ",8,19,"Whoopty"
"20","BICHOTA","KAROL G",3,19,0
"21","Dynamite","BTS",2,28,0
"22","Heartbreak Anniversary","Giveon",20,3,"TAKE TIME"
"23","Baila Conmigo (with Rauw Alejandro)","Selena Gomez, Rauw Alejandro",17,5,0
"24","positions","Ariana Grande",1,19,"Positions"
"25","positions","Ariana Grande",1,19,"positions"
"26","34+35","Ariana Grande",5,18,"Positions"
"27","Ella No Es Tuya - Remix","Rochy RD, Myke Towers, Nicki Nicole",24,3,0
"28","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money, Gunna, Don Toliver, NAV",2,29,0
"29","Hecha Pa' Mi","Boza",17,14,0
"30","We're Good","Dua Lipa",22,3,0
"31","Paradise (feat. Dermot Kennedy)","MEDUZA, Dermot Kennedy",25,18,0
"32","Someone You Loved","Lewis Capaldi",4,113,0
"33","Anyone","Justin Bieber",6,9,0
"34","Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans, 220 KID, Billen Ted",31,3,0
"35","you broke me first","Tate McRae",13,34,0
"36","Heat Waves","Glass Animals",33,10,"Heat Waves"
"37","Heat Waves","Glass Animals",33,10,"Dreamland (+ Bonus Levels)"
"38","What You Know Bout Love","Pop Smoke",6,26,"Shoot For The Stars Aim For The Moon"
"39","Goosebumps - Remix","Travis Scott, HVME",35,7,0
"40","Watermelon Sugar","Harry Styles",4,68,0
